,BugID,CommitDate,Summary
26,ARROW-10150,Collect,[C++] Fix crashes on invalid Parquet file (OSS-Fuzz)
27,ARROW-1017,Collect,Python: Table.to_pandas leaks memory
28,ARROW-10174,Collect,[Java] Reading of Dictionary encoded struct vector fails 
29,ARROW-10175,Collect,[CI] Nightly hdfs integration test job fails
30,ARROW-10176,Collect,[CI] Nightly valgrind job fails
31,ARROW-10192,Collect,[C++][Python] Segfault when converting nested struct array with dictionary field to pandas series
32,ARROW-10193,Collect,[Python] Segfault when converting to fixed size binary array
33,ARROW-10214,Collect,[Python] UnicodeDecodeError when printing schema with binary metadata
34,ARROW-1023,Collect,Python: Fix bundling of arrow-cpp for macOS
35,ARROW-10230,Collect,[JS][Doc] JavaScript documentation fails to build
36,ARROW-10234,Collect,[C++][Gandiva] Fix logic of round() for floats/decimals in Gandiva
37,ARROW-10237,Collect,[C++] Duplicate values in a dictionary result in corrupted parquet
38,ARROW-10238,Collect,[C#] List<Struct> is broken
39,ARROW-10247,Collect,[C++][Dataset] Cannot write dataset with dictionary column as partition field
40,ARROW-10248,Collect,[C++][Dataset] Dataset writing does not write schema metadata
41,ARROW-10262,Collect,[C++] Some TypeClass in Scalar classes seem incorrect
42,ARROW-10264,Collect,[C++][Python] Parquet test failing with HadoopFileSystem URI
43,ARROW-10281,Collect,[Python] Fix warnings when running tests
44,ARROW-10283,Collect,"[Python] Python deprecation warning for ""PY_SSIZE_T_CLEAN will be required for  #  formats"""
45,ARROW-10284,Collect,[Python] Pyarrow is raising deprecation warning about filesystems on import
46,ARROW-10285,Collect,[Python] pyarrow.orc submodule is using deprecated functionality
47,ARROW-10288,Collect,[C++] Compilation fails on i386
48,ARROW-10294,Collect,[Java] Resolve problems of DecimalVector APIs on ArrowBufs
49,ARROW-10333,Collect,[Java] Remove split packages in arrow-memory-core and arrow-vectors
50,ARROW-10345,Collect,[C++] NaN breaks sorting
51,ARROW-10346,Collect,[Python] Default S3 region is eu-central-1 even with LANG=C
52,ARROW-10348,Collect,[C++] Fix crash on invalid Parquet file (OSS-Fuzz)
53,ARROW-10350,Collect,[Rust] parquet_derive crate cannot be published to crates.io
54,ARROW-10353,Collect,[C++] Parquet decompresses DataPageV2 pages even if is_compressed==0
55,ARROW-10369,Collect,[Dev] Fix archery release utility test cases
56,ARROW-10370,Collect,[Python] Spurious s3fs-related test failures
57,ARROW-10373,Collect,[C++] ValidateFull() does not validate null_count
58,ARROW-10388,Collect,[Java] Fix Spark integration build failure
59,ARROW-1039,Collect,Python: pyarrow.Filesystem.read_parquet causing error if nthreads>1
60,ARROW-10397,Collect,[C++] Outdated and confusing comment on dictionary indices
61,ARROW-10399,Collect,[R] Fix performance regression from cpp11::r_string
62,ARROW-10403,Collect,[C++] Implement unique kernel for dictionary type
63,ARROW-10405,Collect,[C++] IsIn kernel should be able to lookup dictionary in string
64,ARROW-10411,Collect,[C++] Fix incorrect child array lengths for Concatenate of FixedSizeList
65,ARROW-10426,Collect,[C++] Arrow type large_string cannot be written to Parquet type column descriptor
66,ARROW-10433,Collect,[Python] pyarrow doesn t work with s3fs>=0.5
67,ARROW-10441,Collect,[FlightRPC][Java] FlightClients from FlightGrpcUtils#createFlightClient shutdown gRPC channel when closed
68,ARROW-10446,Collect,[C++][Python] Timezone aware pd.Timestamp s are incorrectly converted to Timestamp arrys
69,ARROW-1046,Collect,[Python] Conform DataFrame metadata to pandas spec
70,ARROW-10462,Collect,[Python] ParquetDatasetPiece s path broken when using fsspec fs on Windows
71,ARROW-10472,Collect,[C++][Python] casting a scalar timestamp to date32 results in Aborted (core dump)
72,ARROW-10475,Collect,[С++][FlightRPC] Arrow Flight Server / Client cannot be initialized with Ipv6 host
73,ARROW-10480,Collect,"[Python] Parquet write_table creates gzipped Parquet file, not Parquet with gzip compression"
74,ARROW-10482,Collect,[Python] Specifying compression type on a column basis when writing Parquet not working
75,ARROW-10485,Collect,[R] Accept partitioning in open_dataset when file paths are hive-style
76,ARROW-10491,Collect,[FlightRPC][Java] Fix NPE when using FlightProducer without interceptors
77,ARROW-10493,Collect,[C++][Parquet] Writing nullable nested strings results in wrong data in file
78,ARROW-10499,Collect,[C++][Java] Fix ORC Java JNI Crash
79,ARROW-1050,Collect,[C++] Export arrow::ValidateArray
80,ARROW-10503,Collect,[C++] Uriparser will not compile using Intel compiler
81,ARROW-10508,Collect,[Java] Allow FixedSizeListVector to have empty children
82,ARROW-10509,Collect,"[C++] Define operator<<(ostream, ParquetException) for clang+Windows"
83,ARROW-1051,Collect,"[Python] If pyarrow.parquet fails to import due to a shared library ABI conflict, the test_parquet.py tests silently do not run"
84,ARROW-10511,Collect,[Python] Table.to_pandas() failing when timezone-awareness mismatch in metadata
85,ARROW-10514,Collect,[C++][Parquet] Data inconsistency in parquet-reader output modes
86,ARROW-10518,Collect,Fix cast function issues in gandiva
87,ARROW-10519,Collect,[Python] Deadlock when PyArrow imports Pandas from multiple threads
88,ARROW-10525,Collect,[C++] Fix crash on unsupported IPC stream (OSS-Fuzz)
89,ARROW-1053,Collect,[Python] Memory leak with RecordBatchFileReader
90,ARROW-10532,Collect,[Python] Mangled pandas_metadata when specified schema has different order as DataFrame columns
91,ARROW-1054,Collect,[Python] Test suite fails on pandas 0.19.2
92,ARROW-10545,Collect,[C++] Fix crash on invalid Parquet file (OSS-Fuzz)
93,ARROW-10546,Collect,[Python] Deprecate the S3FSWrapper class
94,ARROW-10558,Collect,[Python] Filesystem S3 tests not independent (native s3 influences s3fs)
95,ARROW-1056,Collect,[Python] Parquet+HDFS test failure due to writing pandas index
96,ARROW-10560,Collect,[Python] Crash when creating array with string over 2GB
97,ARROW-10568,Collect,[C++][Parquet] Parquet writer crashes process when Tell() does not succeed
98,ARROW-10569,Collect,[C++][Python] Poor Table filtering performance
99,ARROW-1057,Collect,Fix cmake warning and msvc debug asserts
100,ARROW-10578,Collect,[C++] Comparison kernels crashing for string array with null string scalar
101,ARROW-1061,Collect,[C++] Harden decimal parsing against invalid strings
102,ARROW-10610,Collect,[C++] arrow-utility-test and arrow-csv-test causes failures on a big-endian platform
103,ARROW-10617,Collect,[Python] RecordBatchStreamReader s iterator doesn t work with python 3.8
104,ARROW-10619,Collect,[C++] Fix crash on unsupported IPC stream (OSS-Fuzz)
105,ARROW-1062,Collect,[GLib] Examples use old API
106,ARROW-10622,Collect,[R] Nameof<>() is incorrect in r-arrow build environment
107,ARROW-10642,Collect,[R] Can t get Table from RecordBatchReader with 0 batches
108,ARROW-1066,Collect,remove warning on feather for pandas >= 0.20.1
109,ARROW-10661,Collect,[C#] Fix benchmarking project
110,ARROW-10662,Collect,[Java] Avoid integer overflow for Json file reader
111,ARROW-10663,Collect,[C++/Doc] The IsIn kernel ignores the skip_nulls option of SetLookupOptions
112,ARROW-10668,Collect,[R] Filtering does not work with .data pronoun
113,ARROW-10690,Collect,[Java] ComplexCopier gives incorrect result for list vector if target vector is non-empty
114,ARROW-10699,Collect,[C++] BitmapUInt64Reader doesn t work on big-endian
115,ARROW-1070,Collect,[C++] Feather files for date/time types should be written with the physical types
116,ARROW-10719,Collect,[C#] ArrowStreamWriter doesn t write schema metadata
117,ARROW-1074,Collect,from_pandas doesnt convert ndarray to list
118,ARROW-10748,Collect,[Java] TimeStampMilliVector cannot be cast to TimeStampMilliTZVector
119,ARROW-10749,Collect,[C++] Incorrect string format for Datum with the collection type
120,ARROW-1075,Collect,[GLib] Build error on macOS
121,ARROW-10777,Collect,[Packaging][Python] PyPI pyarrow source dist (sdist) contains architecture dependent binaries 
122,ARROW-10778,Collect,[Python] RowGroupInfo.statistics errors for empty row group
123,ARROW-10779,Collect,[Java] writeNull method in UnionListWriter doesn t work correctly if validity at that index is already set
124,ARROW-1079,Collect,"[Python] Empty ""private"" directories should be ignored by Parquet interface"
125,ARROW-10803,Collect,[R] Support R >= 3.3 and add CI
126,ARROW-1081,Collect,C++: arrow::test::TestBase::MakePrimitive doesn t fill null_bitmap
127,ARROW-10833,Collect,[Python] Avoid usage of NumPy s PyArray_DescrCheck macro
128,ARROW-10840,Collect,[C++] Parquet FileMetaData does not have key_value_metadata when built from FileMetaDataBuilder
129,ARROW-1085,Collect,[java] Follow up on template cleanup. Missing method for IntervalYear
130,ARROW-10852,Collect,[C++] AssertTablesEqual(verbose=true) segfaults if the left array has more rows
131,ARROW-1086,Collect,[Python] pyarrow 0.4.0 on pypi is missing pxd files
132,ARROW-10860,Collect,[Java] Avoid integer overflow for generated classes in Vector
133,ARROW-10863,Collect,[Python] ExtensionArray.to_pandas not working
134,ARROW-1088,Collect,[Python] test_unicode_filename test fails when unicode filenames aren t supported by system
135,ARROW-109,Collect,[C++] Investigate recursive data types limit in flatbuffers
136,ARROW-1090,Collect,[Python] build_ext usability
137,ARROW-1091,Collect,Decimal scale and precision are flipped
138,ARROW-10910,Collect,[Python] Segmentation Fault when None given to read_table with legacy dataset
139,ARROW-1092,Collect,More Decimal and scale flipped follow-up
140,ARROW-10930,Collect,[Python] LargeListType doesn t have a value_field
141,ARROW-10932,Collect,[C++] BinaryMemoTable::CopyOffsets access out-of-bound address when data is empty
142,ARROW-1094,Collect,[C++] Incomplete buffer reads in arrow::io::ReadableFile should exactly truncate returned buffer
143,ARROW-10942,Collect,[C++] S3FileSystem::Impl::IsEmptyDirectory fails on Amazon S3
144,ARROW-10953,Collect,[R] Validate when creating Table with schema
145,ARROW-10955,Collect,[C++] Reading empty json lists results in invalid non-nullable null type
146,ARROW-1096,Collect,[C++] Memory mapping file over 4GB fails on Windows
147,ARROW-10960,Collect,"[C++][FlightRPC] Missing protobuf data_body should result in default value of empty bytes, not null"
148,ARROW-10962,Collect,[Java][FlightRPC] FlightData deserializer should accept missing fields
149,ARROW-1101,Collect,UnionListWriter is not implementing all methods on interface ScalarWriter
150,ARROW-11024,Collect,[C++][Parquet] Writing List<Struct> to parquet sometimes writes wrong data
151,ARROW-1103,Collect,[Python] Utilize pandas metadata from common _metadata Parquet file if it exists
152,ARROW-11066,Collect,[Java] Is there a bug in flight AddWritableBuffer
153,ARROW-11067,Collect,[C++] CSV reader returns nulls for some strings on macOS
154,ARROW-1107,Collect,[JAVA] NullableMapVector getField() should return nullable type
155,ARROW-1108,Collect,Check if ArrowBuf is empty buffer in getActualConsumedMemory() and getPossibleConsumedMemory()
156,ARROW-1109,Collect,[JAVA] transferOwnership fails when readerIndex is not 0
157,ARROW-1110,Collect,[JAVA] make union vector naming consistent
158,ARROW-1111,Collect,"[JAVA] Make aligning buffers optional, and allow -1 for unknown null count"
159,ARROW-11114,Collect,[Java] Metadata serialization is broken for Field class
160,ARROW-1112,Collect,[JAVA] Set lastSet for VarLength and List vectors when loading
161,ARROW-11132,Collect,[CI] Use pip to install crossbow s dependencies for the comment bot
162,ARROW-11161,Collect,[Python][C++] S3Filesystem: file Content-Type not set correctly?
163,ARROW-11162,Collect,[C++] Fix crash on Decimal256 Parquet file (OSS-Fuzz)
164,ARROW-11163,Collect,[C++][Python] Compressed Feather file written with pyarrow 0.17 not readable in pyarrow 2.0.0+
165,ARROW-11166,Collect,[Python][Compute] Add bindings for ProjectOptions
166,ARROW-11171,Collect,[Go] Build fails on s390x with noasm tag
167,ARROW-11189,Collect,[Developer] Achery benchmark diff cannot compare two jsons
168,ARROW-11190,Collect,[C++][Dataset] Clean up compiler warnings
169,ARROW-112,Collect,[C++]  Style fix for constants/enums
170,ARROW-11223,Collect,[Java] BaseVariableWidthVector/BaseLargeVariableWidthVector setNull and getBufferSizeFor is buggy
171,ARROW-11226,Collect,[Python][CI] Filesystem tests failing with s3fs 0.5.2
172,ARROW-11227,Collect,[Python][CI]  AMD64 Conda Python 3.7 Pandas 0.24  cron job failing in to_pandas extension dtype test
173,ARROW-11229,Collect,[C++][Dataset] Static build is failed
174,ARROW-11232,Collect,[C++] Table::CombineChunks() returns incorrect results if Table has no column
175,ARROW-11235,Collect,[Python] S3 test failures inside non-default regions
176,ARROW-11237,Collect,[C++] Compiler error with GLog and unity build enabled
177,ARROW-1124,Collect,[Python] pyarrow needs to depend on numpy>=1.10 (not 1.9)
178,ARROW-1125,Collect,Python: Table.from_pandas doesn t work anymore on partial schemas
179,ARROW-11277,Collect,[C++] Fix compilation error in dataset expressions on macOS 10.11
180,ARROW-11301,Collect,[C++] Fix reading LZ4-compressed Parquet files produced by Java Parquet implementation
181,ARROW-1131,Collect,Python: Parquet unit tests are always skipped
182,ARROW-1132,Collect,[Python] Unable to write pandas DataFrame w/MultiIndex containing duplicate values to parquet
183,ARROW-11320,Collect,[C++] Spurious test failure when creating temporary dir
184,ARROW-11337,Collect,[C++] Compilation error with ThreadSanitizer
185,ARROW-11341,Collect,[Python] [Gandiva] Check parameters are not None
186,ARROW-1136,Collect,[C++/Python] Segfault on empty stream
187,ARROW-11376,Collect,[C++] ThreadedTaskGroup failure with Thread Sanitizer enabled
188,ARROW-11379,Collect,[C++][Dataset] Reading dataset with filtering on timestamp partition field crashes
189,ARROW-11391,Collect,[C++] HdfsOutputStream::Write unsafely truncates integers exceeding INT32_MAX
190,ARROW-11400,Collect,[Python] Pickled ParquetFileFragment has invalid partition_expresion with dictionary type in pyarrow 2.0
191,ARROW-11403,Collect,[Developer] archery benchmark list: unexpected keyword  benchmark_filter 
192,ARROW-11412,Collect,"[Python] Expressions not working with logical boolean operators  (and, or, not)"
193,ARROW-11427,Collect,[C++] Arrow uses AVX512 instructions even when not supported by the OS
194,ARROW-1143,Collect,C++: Fix comparison of NullArray
195,ARROW-1144,Collect,[C++] Remove unused variable
196,ARROW-11448,Collect,[C++] tdigest build failure on Windows with Visual Studio
197,ARROW-11451,Collect,[C++] Fix gcc-4.8 build error
198,ARROW-11461,Collect,[Flight][Go] GetSchema does not work with Java Flight Server
199,ARROW-11464,Collect,[Python] pyarrow.parquet.read_pandas doesn t conform to its docs
200,ARROW-11470,Collect,"[C++] Overflow occurs on integer multiplications in ComputeRowMajorStrides, ComputeColumnMajorStrides, and CheckTensorStridesValidity"
201,ARROW-11480,Collect,[Python] Segmentation fault reading parquet with date filter with INT96 column
202,ARROW-11483,Collect,[Java][C++][Integration] C++ integration test creates JSON files incompatible with Java
203,ARROW-11490,Collect,[C++] BM_ArrowBinaryDict/EncodeLowLevel is not deterministic
204,ARROW-11497,Collect,[Python] pyarrow parquet writer for list does not conform with Apache Parquet specification
205,ARROW-1150,Collect,[C++] AdaptiveIntBuilder compiler warning on MSVC
206,ARROW-11518,Collect,[C++] [Parquet] Parquet reader crashes when reading boolean columns
207,ARROW-1152,Collect,[Cython] read_tensor should work with a readable file
208,ARROW-11548,Collect,[C++] RandomArrayGenerator::List size mismatch 
209,ARROW-11549,Collect,"[C++][Gandiva] Expression::ToString() doesn t distinguish null and string literal  null , causing issues with FilterCacheKey"
210,ARROW-1155,Collect,segmentation fault when run pa.Int16Value()
211,ARROW-11551,Collect,[C++][Gandiva] castTIMESTAMP(utf8) function doesn t show error out for invalid inputs
212,ARROW-11560,Collect,[FlightRPC][C++][Python] Interrupting a Flight server results in abort 
213,ARROW-11567,Collect,[C++][Compute] Variance kernel has precision issue
214,ARROW-1157,Collect,C++/Python: Decimal templates are not correctly exported on OSX
215,ARROW-1159,Collect,[C++] Static data members cannot be accessed from inline functions in Arrow headers by thirdparty users
216,ARROW-11595,Collect,[C++][NIGHTLY:test-conda-cpp-valgrind] GenerateBitsUnrolled triggers valgrind on uninit inputs
217,ARROW-11596,Collect,[Python][Dataset] SIGSEGV when executing scan tasks with Python executors
218,ARROW-11607,Collect,[Python] Error when reading table with list values from parquet
219,ARROW-11614,Collect,[C++][Gandiva] Fix round() logic to return positive zero when argument is zero
220,ARROW-11617,Collect,[C++][Gandiva] Fix nested if-else optimisation in gandiva
221,ARROW-1162,Collect,Transfer Between Empty Lists Should Not Invoke Callback
222,ARROW-11639,Collect,[C++][Gandiva] Fix signbit compilation issue in Ubuntu nightly build
223,ARROW-11642,Collect,[C++] Incorrect preprocessor directive for Windows in JVM detection
224,ARROW-11657,Collect,[R] group_by with .drop specified errors
225,ARROW-11668,Collect,[C++] Sporadic UBSAN error in FutureStessTest.TryAddCallback
226,ARROW-1167,Collect,[Python] Create chunked BinaryArray in Table.from_pandas when a column s data exceeds 2GB
227,ARROW-1168,Collect,"[Python] pandas metadata may contain ""mixed"" data types"
228,ARROW-11694,Collect,[C++] Array Take may dereference absent null bitmap
229,ARROW-11695,Collect,[C++][FlightRPC][Packaging] Update support for disabling TLS server verification for recent gRPC versions
230,ARROW-1174,Collect,[GLib] Investigate root cause of ListArray glib test failure
231,ARROW-11741,Collect,[C++] Decimal cast failure on big-endian
232,ARROW-11746,Collect,[Developer][Archery] Fix prefer real time check
233,ARROW-11758,Collect,[C++][Compute] Summation kernel round-off error
234,ARROW-11767,Collect,[C++] Scalar::hash may segfault for null scalars
235,ARROW-1177,Collect,[C++] Detect int32 overflow in ListBuilder::Append
236,ARROW-11771,Collect,[Developer][Archery] Move benchmark tests (so CI runs them)
237,ARROW-11780,Collect,[C++][Python] StructArray.from_arrays() crashes Python interpreter
238,ARROW-11788,Collect,[Java] Appending Empty List Vector yields NPE
239,ARROW-1179,Collect,C++: Add missing virtual destructors
240,ARROW-1180,Collect,[GLib] garrow_tensor_get_dimension_name() returns invalid address
241,ARROW-1181,Collect,[Python] Parquet test fail if not enabled
242,ARROW-11832,Collect,[R] Handle conversion of extra nested struct column
243,ARROW-1184,Collect,[Java] Dictionary.equals is not working correctly
244,ARROW-11855,Collect,[C++] [Python] Memory leak in to_pandas when converting chunked struct array
245,ARROW-1186,Collect,[C++] Enable option to build arrow with minimal dependencies needed to build Parquet library
246,ARROW-11872,Collect,[C++] Array Validation of GPU buffers fails due to incorrect validation check
247,ARROW-1188,Collect,Segfault when trying to serialize a DataFrame with Null-only Categorical Column
248,ARROW-1190,Collect,VectorLoader corrupts vectors with duplicate names
249,ARROW-11904,Collect,"[C++] ""pure virtual method called"" crash at the end of arrow-csv-test"
250,ARROW-11905,Collect,[C++] SIMD info always returning none on MacOS
251,ARROW-11908,Collect,[Rust] Intermittent Flight integration test failures
252,ARROW-1191,Collect,[JAVA] Implement getField() method for the complex readers
253,ARROW-11914,Collect,[R] [CI] r-sanitizer nightly is broken
254,ARROW-1192,Collect,[JAVA] Improve splitAndTransfer performance for List and Union vectors
255,ARROW-11937,Collect,[C++] GZip codec hangs if flushed twice
256,ARROW-1194,Collect,Getting record batch size with pa.get_record_batch_size returns a size that is too small for pandas DataFrame.
257,ARROW-11941,Collect,"[Dev] ""DEBUG=1 merge_arrow_pr.py"" updates Jira issue"
258,ARROW-11942,Collect,[C++] If tasks are submitted quickly the thread pool may fail to spin up new threads
259,ARROW-11945,Collect,[R] filter doesn t accept negative numbers as valid
260,ARROW-1195,Collect,[C++] CpuInfo doesn t get cache size on Windows
261,ARROW-1197,Collect,[GLib] record_batch.hpp Inclusion is missing
262,ARROW-11970,Collect,[C++][CI] Fix Valgrind failures
263,ARROW-11976,Collect,[C++] Sporadic TSAN error in TestThreadPool.SetCapacity
264,ARROW-11983,Collect,[Python] ImportError calling pyarrow from_pandas within ThreadPool
265,ARROW-11997,Collect,[Python] concat_tables crashes python interpreter
266,ARROW-1200,Collect,[C++] DictionaryBuilder should use signed integers for indices
267,ARROW-12007,Collect,"[C++] Loading parquet file returns ""Invalid UTF8 payload"" error"
268,ARROW-1201,Collect,[Python] Incomplete Python types cause a core dump when repr-ing
269,ARROW-12011,Collect,[C++][Python] Crashes and incorrect results when converting large integers to dates
270,ARROW-12012,Collect,[Java] [JDBC] BinaryConsumer cannot reallocate memory correctly
271,ARROW-12041,Collect,[C++] Fix string description of tensor IPC messages
272,ARROW-12042,Collect,[C++] Change or rationalize output of array_sort_indices on ChunkedArray
273,ARROW-1205,Collect,C++: Reference to type objects in ArrayLoader may cause segmentation faults.
274,ARROW-12051,Collect,[GLib] Intermittent CI failure in test_add_column_type(TestCSVReader::#read::options)
275,ARROW-12057,Collect,[Python] Remove direct usage of pandas  Block subclasses
276,ARROW-1206,Collect,[C++] Enable MSVC builds to work with some compression library support disabled
277,ARROW-12065,Collect,[C++][Python] Segfault reading JSON file
278,ARROW-12066,Collect,[Python] Dataset API seg fault when filtering string column for None
279,ARROW-12067,Collect,[Python][Doc] Document pyarrow_(un)wrap_scalar
280,ARROW-12072,Collect,(ipc.Writer).Write panics with `arrow/array: index out of range`
281,ARROW-12077,Collect,[C++] Out-of-bounds write in ListArray::FromArrays
282,ARROW-12087,Collect,"[C++] Fix sort_indices, array_sort_indices timestamp support discrepancy"
283,ARROW-12089,Collect,[Doc] Fix warnings when building Sphinx docs
284,ARROW-12096,Collect,[Python][C++] Pyarrow Parquet reader overflows INT96 timestamps when converting to Arrow Array (timestamp[ns])
285,ARROW-12100,Collect,[C#] Cannot round-trip record batch with PyArrow
286,ARROW-12103,Collect,"[C++] ""load of misaligned address"" in Parquet reader"
287,ARROW-12138,Collect,[Go][IPC]
288,ARROW-12140,Collect,[C++][CI] Valgrind failure on Grouper tests
289,ARROW-12145,Collect,[Developer][Archery] Flaky test: test_static_runner_from_json
290,ARROW-1215,Collect,[Python] Class methods in API reference
291,ARROW-12150,Collect,[Python] Bad type inference of mixed-precision Decimals
292,ARROW-12154,Collect,[C++][Gandiva] Fix gandiva crash in certain OS/CPU combinations
293,ARROW-12155,Collect,[R] Require Table columns to be same length
294,ARROW-1216,Collect,Numpy arrays cannot be created from Arrow Buffers on Python 2
295,ARROW-12161,Collect,[C++][R] Async streaming CSV reader deadlocking when being run synchronously from datasets
296,ARROW-12169,Collect,[C++] Fix compressed file reading with an empty stream at end of file
297,ARROW-12209,Collect,[JS] @apache-arrow/ts nor apache-arrow does not compile
298,ARROW-1222,Collect,[Python] pyarrow.array returns NullArray for array of unsupported Python objects
299,ARROW-12220,Collect,[C++][CI] Thread sanitizer failure
300,ARROW-12226,Collect,[C++] ASAN error in s3fs_test.cc
301,ARROW-1223,Collect,[GLib] Fix function name that returns wrapped object
302,ARROW-12240,Collect,[Python] invalid-offsetof warning from apple clang-12
303,ARROW-12241,Collect,[Python] Parallel csv reader cancellation test kills pytest
304,ARROW-1225,Collect,[Python] pyarrow.array does not attempt to convert bytes to UTF8 when passed a StringType
305,ARROW-12299,Collect,[Python] pq.write_to_dataset does not recognize S3FileSystem
306,ARROW-12314,Collect,[Python] pq.read_pandas with use_legacy_dataset=False does not accept columns as a set (kartothek integration failure)
307,ARROW-12327,Collect,[Dev] Use pull request s head remote when submitting crossbow jobs via the comment bot
308,ARROW-12330,Collect,[Developer] Restore values in counters column of Archery benchmark
309,ARROW-12342,Collect,[Packaging] Fix tabulation in crossbow templates for submitting nightly builds
310,ARROW-1235,Collect,[C++] macOS linker failure with operator<< and std::ostream 
311,ARROW-12357,Collect,"[Archery] Error running ""crossbow submit ..."""
312,ARROW-1237,Collect,[JAVA] Expose the ability to set lastSet 
313,ARROW-12379,Collect,[C++][CI] Thread sanitizer failure in SerialExecutor
314,ARROW-12401,Collect,[R] Fix guard around dataset___Scanner__TakeRows
315,ARROW-12405,Collect,[Packaging] Fix apt artifact patterns and artifact uploading from travis
316,ARROW-12407,Collect,[Python] Deprecation warning when building PyArrow
317,ARROW-12408,Collect,[R] Delete Scan() bindings
318,ARROW-12429,Collect,[C++] MergedGeneratorTestFixture is incorrectly instantiated
319,ARROW-12431,Collect,[Python] pa.array mask inverted when type is binary and value to be converted is numpy array
320,ARROW-12440,Collect,"[Release] Various packaging, release script and release verification script fixes"
321,ARROW-1245,Collect,[Integration] Java Integration Tests Disabled
322,ARROW-12466,Collect,[Python] Comparing array to None raises error
323,ARROW-12472,Collect,[Python] read_table fails when passing a PEP519 filesystem object
324,ARROW-12475,Collect,[C++] Build warning from thread_pool_benchmark.cc
325,ARROW-12482,Collect,[Doc][Python] Mention CSVStreamingReader pitfalls with type inference
326,ARROW-12487,Collect,[C++][Dataset] ScanBatches() hangs if there s an error during scanning
327,ARROW-1249,Collect,[JAVA] Expose the fillEmpties function from Nullable<Varlength>Vector.mutator
328,ARROW-12491,Collect,[Packaging] Required dependency on LZ4 >= 1.8 missing from CentOS RPM packages
329,ARROW-12495,Collect,[C++][Python] NumPy buffer sets is_mutable_ to true but does not set mutable_data_ when the NumPy array is writable
330,ARROW-12513,Collect,[C++][Parquet] Parquet Writer always puts null_count=0 in Parquet statistics for dictionary-encoded array with nulls
331,ARROW-12540,Collect,[C++] Implement cast from date32[day] to utf8 
332,ARROW-12568,Collect,[Python][C++] Segfault when casting a sliced ListArray of int64 in v4.0.0
333,ARROW-12570,Collect,[JS] Fix issues that blocked the v4.0.0 release
334,ARROW-12605,Collect,[Documentation] Repair line numbers in dataset.rst
335,ARROW-12606,Collect,[C++] Quantile and Mode functions failing on arrays with offset
336,ARROW-12610,Collect,[C++] Skip TestS3FSGeneric TestDeleteDir and TestDeleteDirContents on windows as they are flaky
337,ARROW-12613,Collect,[Python] AttributeError when comparing a Scalar with None
338,ARROW-12614,Collect,[C++][Compute] Revert support for Tables in ExecuteScalarExpression
339,ARROW-12617,Collect,[Python] pyarrow.orc.write_table signature reverses that of pyarrow.parquet.write_table
340,ARROW-12620,Collect,[C++] Dataset writing can only include projected columns if input columns are also included
341,ARROW-12622,Collect,[Python] Segfault when reading CSV inside Flight server
342,ARROW-12626,Collect,[C++] Support non-BUNDLED xsimd dependency
343,ARROW-1263,Collect,[C++] CpuInfo should be able to get CPU features on Windows
344,ARROW-12630,Collect,[Dev][Integration] conda-integration docker build fails
345,ARROW-12636,Collect,[JS] ESM Tree-Shaking produces broken code
